identifier.ppn	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
1023449366	"The economics of resource rich economies"		978-1-78471-314-0							http://www.elgaronline.com/view/Research_Reviews/9781849803915/9781849803915.xml	https://journals.co.za/	Sabinet	"Ploeg, Frederick van der"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448254	"The economic role of the state"		978-1-78471-312-6							http://www.elgaronline.com/view/Research_Reviews/9781843763123/9781843763123.xml	https://journals.co.za/	Sabinet	"Boettke, Peter J."			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448173	"International trade and the new global economy"		978-1-78471-611-0							http://www.elgaronline.com/view/Research_Reviews/9781784712594/9781784712594.xml	https://journals.co.za/	Sabinet	"Mansfield, Edward D."			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448165	"The economics of marriage"		978-1-78536-273-6							http://www.elgaronline.com/view/Research_Reviews/9781784710248/9781784710248.xml	https://journals.co.za/	Sabinet	"Grossbard, Soshana A."			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448157	"Capital controls"		978-1-78471-583-0							http://www.elgaronline.com/view/Research_Reviews/9781783479498/9781783479498.xml	https://journals.co.za/	Sabinet				fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448149	"Trade in Asia"		978-1-78471-621-9							http://www.elgaronline.com/view/Research_Reviews/9781783479481/9781783479481.xml	https://journals.co.za/	Sabinet	"Pomfret, Richard"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448130	"Trade and inequality"		978-1-78471-642-4							http://www.elgaronline.com/view/Research_Reviews/9781783479474/9781783479474.xml	https://journals.co.za/	Sabinet	"Goldberg, Pinelopi Koujianou"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448122	"Migration and remittances"		978-1-78471-638-7							http://www.elgaronline.com/view/Research_Reviews/9781783479467/9781783479467.xml	https://journals.co.za/	Sabinet	"Connell, John"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448106	"Household finance"		978-1-78471-612-7							http://www.elgaronline.com/view/Research_Reviews/9781783476046/9781783476046.xml	https://journals.co.za/	Sabinet	"Haliassos, Michael"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448076	"Services and innovation"		978-1-78471-619-6							http://www.elgaronline.com/view/Research_Reviews/9781783472932/9781783472932.xml	https://journals.co.za/	Sabinet	"Gallouj, Faïz"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448033	"Economic sanctions"		978-1-78471-311-9							http://www.elgaronline.com/view/Research_Reviews/9781782547761/9781782547761.xml	https://journals.co.za/	Sabinet	"Malloy, Michael P."			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023448009	"The economics of philanthropy and fundraising"		978-1-78471-323-2							http://www.elgaronline.com/view/Research_Reviews/9781782546054/9781782546054.xml	https://journals.co.za/	Sabinet	"Andreoni, James"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023447991	"Tax reform in developing countries"		978-1-78471-322-5							http://www.elgaronline.com/view/Research_Reviews/9781782545811/9781782545811.xml	https://journals.co.za/	Sabinet	"Alm, James"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023447967	"Game theory and international environmental cooperation"		978-1-78471-320-1							http://www.elgaronline.com/view/Research_Reviews/9781782545095/9781782545095.xml	https://journals.co.za/	Sabinet				fulltext		"Edward Elgar Pub"	Monograph		2015						P					
1023447908	"State capitalism"		978-1-78471-318-8							http://www.elgaronline.com/view/Research_Reviews/9781781954881/9781781954881.xml	https://journals.co.za/	Sabinet	"Krug, Barbara"			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
102344786X	"Biotechnology, agriculture and development"		978-1-78471-617-2							http://www.elgaronline.com/view/Research_Reviews/9781781952559/9781781952559.xml	https://journals.co.za/	Sabinet	"Phillips, Peter W. B."			fulltext		"Edward Elgar Pub. Ltd"	Monograph		2015						P					
1023441381	"Monetary regimes and inflation"		978-1-78471-763-6							http://www.elgaronline.com/view/9781784717629.xml	https://journals.co.za/	Sabinet	"Bernholz, Peter"			fulltext		"Edward Elgar Publishing"	Monograph		2015		"Second edition"				P					
1023438828	"Handbook on research in relationship marketing"		978-1-78347-863-7							http://www.elgaronline.com/view/9781848443686.xml	https://journals.co.za/	Sabinet				fulltext		"Edward Elgar Publishing"	Monograph		2015			Morgan			P					
